Module,Lesson Name,Description,Language,Type,CWEs,Campaigns
OWASP 8: Software and Data Integrity Failures,In a Pickle,Data serialization leads to dangerous user-provided payloads.,flask,Lesson,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,In a Pickle,Data serialization leads to dangerous user-provided payloads.,go,Lesson,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,In a Pickle,Data serialization leads to dangerous user-provided payloads.,java,Lesson,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,In a Pickle,Data serialization leads to dangerous user-provided payloads.,python,Lesson,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,In a Pickle,Data serialization leads to dangerous user-provided payloads.,php,Lesson,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,In a Pickle,Data serialization leads to dangerous user-provided payloads.,scala,Lesson,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,Deserialization,Use pickling to reveal the code of the underlying application.,flask,Challenge,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,Deserialization,Use pickling to reveal the code of the underlying application.,java,Challenge,"cwe-1354, cwe-913, cwe-502, cwe-399, cwe-medium","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,"Mongo: like SQL, but messier",View non-public posts by supplying a document query as user input.,node,Lesson,,"Intermediate (OWASP 10 additional topics and optional challenges), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,"Tell Mongo ""no-go"" for untrusted code",Defend against NoSQL IDOR on a NodeJS app that uses MongoDB to store and retrieve data.,node,Lesson,"cwe-566, cwe-639","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 8: Software and Data Integrity Failures,User-Provided Users,"Exposed, unhashed user IDs are modifiable by users.",rails,Lesson,"cwe-566, cwe-639",All core labs (All topics)
OWASP 8: Software and Data Integrity Failures,Prototype Protection Agency,Lax or missing input validation can lead to data corruption.,node,Lesson,"cwe-1321, cwe-1354, cwe-915, cwe-502","Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,dotnet,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,flask,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,go,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,java,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,node,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,php,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,python,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,rails,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Bugs in Debug,Verbose error messages lead to exposed sensitive data.,scala,Lesson,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-high, cwe-1295","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 2: Cryptographic Failures,Helpful Stack Trace,"Provoke an error that reveals sensitive info, leading to privilege escalation.",dotnet,Challenge,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-1295, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 2: Cryptographic Failures,Helpful Stack Trace,"Provoke an error that reveals sensitive info, leading to privilege escalation.",flask,Challenge,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-1295, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 2: Cryptographic Failures,Helpful Stack Trace,"Provoke an error that reveals sensitive info, leading to privilege escalation.",python,Challenge,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-1295, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 2: Cryptographic Failures,Helpful Stack Trace,"Provoke an error that reveals sensitive info, leading to privilege escalation.",rails,Challenge,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-1295, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 2: Cryptographic Failures,Secret Logging,Force an application to throw an error and leak sensitive data in a stack trace.,flask,Challenge,"cwe-1346, cwe-262, cwe-328, cwe-259, cwe-1295, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,dotnet,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,flask,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,go,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,java,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,node,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
